year,yearSince1880,globalTemp
1880,0,-0.17
1881,1,-0.08
1882,2,-0.11
1883,3,-0.18
1884,4,-0.29
1885,5,-0.33
1886,6,-0.31
1887,7,-0.36
1888,8,-0.18
1889,9,-0.11
1890,10,-0.35
1891,11,-0.22
1892,12,-0.27
1893,13,-0.32
1894,14,-0.32
1895,15,-0.24
1896,16,-0.11
1897,17,-0.11
1898,18,-0.27
1899,19,-0.18
1900,20,-0.08
1901,21,-0.16
1902,22,-0.28
1903,23,-0.37
1904,24,-0.47
1905,25,-0.26
1906,26,-0.22
1907,27,-0.38
1908,28,-0.42
1909,29,-0.48
1910,30,-0.43
1911,31,-0.44
1912,32,-0.36
1913,33,-0.34
1914,34,-0.15
1915,35,-0.14
1916,36,-0.36
1917,37,-0.46
1918,38,-0.3
1919,39,-0.28
1920,40,-0.27
1921,41,-0.19
1922,42,-0.29
1923,43,-0.27
1924,44,-0.27
1925,45,-0.22
1926,46,-0.11
1927,47,-0.22
1928,48,-0.2
1929,49,-0.36
1930,50,-0.16
1931,51,-0.1
1932,52,-0.16
1933,53,-0.29
1934,54,-0.13
1935,55,-0.2
1936,56,-0.15
1937,57,-0.03
1938,58,0
1939,59,-0.01
1940,60,0.13
1941,61,0.19
1942,62,0.07
1943,63,0.09
1944,64,0.21
1945,65,0.09
1946,66,-0.07
1947,67,-0.03
1948,68,-0.11
1949,69,-0.11
1950,70,-0.17
1951,71,-0.07
1952,72,0.01
1953,73,0.08
1954,74,-0.13
1955,75,-0.14
1956,76,-0.19
1957,77,0.05
1958,78,0.06
1959,79,0.03
1960,80,-0.03
1961,81,0.06
1962,82,0.03
1963,83,0.05
1964,84,-0.2
1965,85,-0.11
1966,86,-0.06
1967,87,-0.02
1968,88,-0.08
1969,89,0.05
1970,90,0.02
1971,91,-0.08
1972,92,0.01
1973,93,0.16
1974,94,-0.07
1975,95,-0.01
1976,96,-0.1
1977,97,0.18
1978,98,0.07
1979,99,0.16
1980,100,0.26
1981,101,0.32
1982,102,0.14
1983,103,0.31
1984,104,0.15
1985,105,0.12
1986,106,0.18
1987,107,0.32
1988,108,0.39
1989,109,0.27
1990,110,0.45
1991,111,0.4
1992,112,0.22
1993,113,0.23
1994,114,0.31
1995,115,0.44
1996,116,0.32
1997,117,0.46
1998,118,0.61
1999,119,0.38
2000,120,0.39
2001,121,0.53
2002,122,0.62
2003,123,0.61
2004,124,0.53
2005,125,0.67
2006,126,0.63
2007,127,0.66
2008,128,0.54
2009,129,0.65
2010,130,0.72
2011,131,0.6
2012,132,0.64
2013,133,0.67
2014,134,0.74
2015,135,0.89
2016,136,1.01
2017,137,0.92
2018,138,0.84
2019,139,0.97
2020,140,1.01
2021,141,0.84